abandon;abandon,abandons,abandoning,abandoned
abolish;abolish,abolishes,abolishing,abolished
absorb;absorb,absorbs,absorbing,absorbed
abuse;abuse,abuses,abusing,abused
accept;accept,accepts,accepting,accepted
access;access,accesses,accessing,accessed
accommodate;accommodate,accommodates,accommodating,accommodated
accompany;accompany,accompanies,accompanying,accompanied
account;account,accounts,accounting,accounted
accumulate;accumulate,accumulates,accumulating,accumulated
accuse;accuse,accuses,accusing,accused
achieve;achieve,achieves,achieving,achieved
acknowledge;acknowledge,acknowledges,acknowledging,acknowledged
acquire;acquire,acquires,acquiring,acquired
act;act,acts,acting,acted
activate;activate,activates,activating,activated
adapt;adapt,adapts,adapting,adapted
add;add,adds,adding,added
address;address,addresses,addressing,addrest
adjust;adjust,adjusts,adjusting,adjusted
administer;administer,administers,administering,administered
admire;admire,admires,admiring,admired
admit;admit,admits,admitting,admitted
adopt;adopt,adopts,adopting,adopted
advance;advance,advances,advancing,advanced
advertise;advertise,advertises,advertising,advertised
advise;advise,advises,advising,advised
advocate;advocate,advocates,advocating,advocated
affect;affect,affects,affecting,affected
afford;afford,affords,affording,afforded
age;age,ages,aging,aged
agree;agree,agrees,agreeing,agreed
aid;aid,aids,aiding,aided
aim;aim,aims,aiming,aimed
alert;alert,alerts,alerting,alerted
allege;allege,alleges,alleging,alleged
allocate;allocate,allocates,allocating,allocated
allow;allow,allows,allowing,allowed
alter;alter,alters,altering,altered
amend;amend,amends,amending,amended
amount;amount,amounts,amounting,amounted
analyse;analyse,analyses,analysing,analysed
announce;announce,announces,announcing,announced
answer;answer,answers,answering,answered
anticipate;anticipate,anticipates,anticipating,anticipated
appeal;appeal,appeals,appealing,appealed
appear;appear,appears,appearing,appeared
apply;apply,applies,applying,applied
appoint;appoint,appoints,appointing,appointed
appreciate;appreciate,appreciates,appreciating,appreciated
approach;approach,approaches,approaching,approached
approve;approve,approves,approving,approved
argue;argue,argues,arguing,argued
arise;arise,arises,arising,arose,arisen
arm;arm,arms,arming,armed
arouse;arouse,arouses,arousing,aroused
arrange;arrange,arranges,arranging,arranged
arrest;arrest,arrests,arresting,arrested
arrive;arrive,arrives,arriving,arrived
ask;ask,asks,asking,asked
assemble;assemble,assembles,assembling,assembled
assert;assert,asserts,asserting,asserted
assess;assess,assesses,assessing,assessed
assign;assign,assigns,assigning,assigned
assist;assist,assists,assisting,assisted
associate;associate,associates,associating,associated
assume;assume,assumes,assuming,assumed
assure;assure,assures,assuring,assured
attach;attach,attaches,attaching,attached
attack;attack,attacks,attacking,attacked
attain;attain,attains,attaining,attained
attempt;attempt,attempts,attempting,attempted
attend;attend,attends,attending,attended
attract;attract,attracts,attracting,attracted
attribute;attribute,attributes,attributing,attributed
avoid;avoid,avoids,avoiding,avoided
await;await,awaits,awaiting,awaited
award;award,awards,awarding,awarded
back;back,backs,backing,backed
balance;balance,balances,balancing,balanced
ban;ban,bans,banning,banned
bang;bang,bangs,banging,banged
base;base,bases,basing,based
