abandon;inf,abandon;3sg,abandons;part,abandoning;1sgp,abandoned
abolish;inf,abolish;3sg,abolishes;part,abolishing;1sgp,abolished
absorb;inf,absorb;3sg,absorbs;part,absorbing;1sgp,absorbed
abuse;inf,abuse;3sg,abuses;part,abusing;1sgp,abused
accept;inf,accept;3sg,accepts;part,accepting;1sgp,accepted
access;inf,access;3sg,accesses;part,accessing;1sgp,accessed
accommodate;inf,accommodate;3sg,accommodates;part,accommodating;1sgp,accommodated
accompany;inf,accompany;3sg,accompanies;part,accompanying;1sgp,accompanied
account;inf,account;3sg,accounts;part,accounting;1sgp,accounted
accumulate;inf,accumulate;3sg,accumulates;part,accumulating;1sgp,accumulated
accuse;inf,accuse;3sg,accuses;part,accusing;1sgp,accused
achieve;inf,achieve;3sg,achieves;part,achieving;1sgp,achieved
acknowledge;inf,acknowledge;3sg,acknowledges;part,acknowledging;1sgp,acknowledged
acquire;inf,acquire;3sg,acquires;part,acquiring;1sgp,acquired
act;inf,act;3sg,acts;part,acting;1sgp,acted
activate;inf,activate;3sg,activates;part,activating;1sgp,activated
adapt;inf,adapt;3sg,adapts;part,adapting;1sgp,adapted
add;inf,add;3sg,adds;part,adding;1sgp,added
address;inf,address;3sg,addresses;part,addressing;1sgp,addrest
adjust;inf,adjust;3sg,adjusts;part,adjusting;1sgp,adjusted
administer;inf,administer;3sg,administers;part,administering;1sgp,administered
admire;inf,admire;3sg,admires;part,admiring;1sgp,admired
admit;inf,admit;3sg,admits;part,admitting;1sgp,admitted
adopt;inf,adopt;3sg,adopts;part,adopting;1sgp,adopted
advance;inf,advance;3sg,advances;part,advancing;1sgp,advanced
advertise;inf,advertise;3sg,advertises;part,advertising;1sgp,advertised
advise;inf,advise;3sg,advises;part,advising;1sgp,advised
advocate;inf,advocate;3sg,advocates;part,advocating;1sgp,advocated
affect;inf,affect;3sg,affects;part,affecting;1sgp,affected
afford;inf,afford;3sg,affords;part,affording;1sgp,afforded
age;inf,age;3sg,ages;part,aging;1sgp,aged
agree;inf,agree;3sg,agrees;part,agreeing;1sgp,agreed
aid;inf,aid;3sg,aids;part,aiding;1sgp,aided
aim;inf,aim;3sg,aims;part,aiming;1sgp,aimed
alert;inf,alert;3sg,alerts;part,alerting;1sgp,alerted
allege;inf,allege;3sg,alleges;part,alleging;1sgp,alleged
allocate;inf,allocate;3sg,allocates;part,allocating;1sgp,allocated
allow;inf,allow;3sg,allows;part,allowing;1sgp,allowed
alter;inf,alter;3sg,alters;part,altering;1sgp,altered
amend;inf,amend;3sg,amends;part,amending;1sgp,amended
amount;inf,amount;3sg,amounts;part,amounting;1sgp,amounted
analyse;inf,analyse;3sg,analyses;part,analysing;1sgp,analysed
announce;inf,announce;3sg,announces;part,announcing;1sgp,announced
answer;inf,answer;3sg,answers;part,answering;1sgp,answered
anticipate;inf,anticipate;3sg,anticipates;part,anticipating;1sgp,anticipated
appeal;inf,appeal;3sg,appeals;part,appealing;1sgp,appealed
appear;inf,appear;3sg,appears;part,appearing;1sgp,appeared
apply;inf,apply;3sg,applies;part,applying;1sgp,applied
appoint;inf,appoint;3sg,appoints;part,appointing;1sgp,appointed
appreciate;inf,appreciate;3sg,appreciates;part,appreciating;1sgp,appreciated
approach;inf,approach;3sg,approaches;part,approaching;1sgp,approached
approve;inf,approve;3sg,approves;part,approving;1sgp,approved
argue;inf,argue;3sg,argues;part,arguing;1sgp,argued
arise;inf,arise;3sg,arises;part,arising;1sgp,arose;ppart,arisen
arm;inf,arm;3sg,arms;part,arming;1sgp,armed
arouse;inf,arouse;3sg,arouses;part,arousing;1sgp,aroused
arrange;inf,arrange;3sg,arranges;part,arranging;1sgp,arranged
arrest;inf,arrest;3sg,arrests;part,arresting;1sgp,arrested
arrive;inf,arrive;3sg,arrives;part,arriving;1sgp,arrived
ask;inf,ask;3sg,asks;part,asking;1sgp,asked
assemble;inf,assemble;3sg,assembles;part,assembling;1sgp,assembled
assert;inf,assert;3sg,asserts;part,asserting;1sgp,asserted
assess;inf,assess;3sg,assesses;part,assessing;1sgp,assessed
assign;inf,assign;3sg,assigns;part,assigning;1sgp,assigned
assist;inf,assist;3sg,assists;part,assisting;1sgp,assisted
associate;inf,associate;3sg,associates;part,associating;1sgp,associated
assume;inf,assume;3sg,assumes;part,assuming;1sgp,assumed
assure;inf,assure;3sg,assures;part,assuring;1sgp,assured
attach;inf,attach;3sg,attaches;part,attaching;1sgp,attached
attack;inf,attack;3sg,attacks;part,attacking;1sgp,attacked
attain;inf,attain;3sg,attains;part,attaining;1sgp,attained
attempt;inf,attempt;3sg,attempts;part,attempting;1sgp,attempted
attend;inf,attend;3sg,attends;part,attending;1sgp,attended
attract;inf,attract;3sg,attracts;part,attracting;1sgp,attracted
attribute;inf,attribute;3sg,attributes;part,attributing;1sgp,attributed
avoid;inf,avoid;3sg,avoids;part,avoiding;1sgp,avoided
await;inf,await;3sg,awaits;part,awaiting;1sgp,awaited
award;inf,award;3sg,awards;part,awarding;1sgp,awarded
back;inf,back;3sg,backs;part,backing;1sgp,backed
balance;inf,balance;3sg,balances;part,balancing;1sgp,balanced
ban;inf,ban;3sg,bans;part,banning;1sgp,banned
bang;inf,bang;3sg,bangs;part,banging;1sgp,banged
base;inf,base;3sg,bases;part,basing;1sgp,based
be;inf,be;1sg,am;2sg,are;3sg,is;part,being;1sgp,was;2sgp,were;ppart,been
bear;inf,bear;3sg,bears;part,bearing;1sgp,beared;ppart,borne
beat;inf,beat;3sg,beats;part,beating;ppart,beaten
become;inf,become;3sg,becomes;part,becoming;1sgp,became
beg;inf,beg;3sg,begs;part,begging;1sgp,begged
begin;inf,begin;3sg,begins;part,beginning;1sgp,began;ppart,begun
behave;inf,behave;3sg,behaves;part,behaving;1sgp,behaved
believe;inf,believe;3sg,believes;part,believing;1sgp,believed
belong;inf,belong;3sg,belongs;part,belonging;1sgp,belonged
bend;inf,bend;3sg,bends;part,bending;1sgp,bent
benefit;inf,benefit;3sg,benefits;part,benefiting;1sgp,benefited
