abanderar;inf,abanderar;1sg,abandero;2sg,abanderas;3sg,abandera;1pl,abanderamos;2pl,abanderáis;3pl,abanderan;part,abanderando;2pl!,abanderad;1sg->,abanderaría;2sg->,abanderarías;1pl->,abanderaríamos;2pl->,abanderaríais;3pl->,abanderarían;1sg?,abandere;2sg?,abanderes;1pl?,abanderemos;2pl?,abanderéis;3pl?,abanderen;1sgp,abanderaba;2sgp,abanderabas;1ppl,abanderábamos;2ppl,abanderabais;3ppl,abanderaban;ppart,abanderado;1sgp?,abanderara;2sgp?,abanderaras;1ppl?,abanderáramos;2ppl?,abanderarais;3ppl?,abanderaran;1sgf,abanderaré;2sgf,abanderarás;3sgf,abanderará;1plf,abanderaremos;2plf,abanderaréis;3plf,abanderarán
abandonar;inf,abandonar;1sg,abandono;2sg,abandonas;3sg,abandona;1pl,abandonamos;2pl,abandonáis;3pl,abandonan;part,abandonando;2pl!,abandonad;1sg->,abandonaría;2sg->,abandonarías;1pl->,abandonaríamos;2pl->,abandonaríais;3pl->,abandonarían;1sg?,abandone;2sg?,abandones;1pl?,abandonemos;2pl?,abandonéis;3pl?,abandonen;1sgp,abandonaba;2sgp,abandonabas;1ppl,abandonábamos;2ppl,abandonabais;3ppl,abandonaban;ppart,abandonado;1sgp?,abandonara;2sgp?,abandonaras;1ppl?,abandonáramos;2ppl?,abandonarais;3ppl?,abandonaran;1sgf,abandonaré;2sgf,abandonarás;3sgf,abandonará;1plf,abandonaremos;2plf,abandonaréis;3plf,abandonarán
abanicar;inf,abanicar;1sg,abanico;2sg,abanicas;3sg,abanica;1pl,abanicamos;2pl,abanicáis;3pl,abanican;part,abanicando;2pl!,abanicad;1sg->,abanicaría;2sg->,abanicarías;1pl->,abanicaríamos;2pl->,abanicaríais;3pl->,abanicarían;1sg?,abanice;2sg?,abanices;1pl?,abanicemos;2pl?,abanicéis;3pl?,abanicen;1sgp,abanicaba;2sgp,abanicabas;1ppl,abanicábamos;2ppl,abanicabais;3ppl,abanicaban;ppart,abanicado;1sgp?,abanicara;2sgp?,abanicaras;1ppl?,abanicáramos;2ppl?,abanicarais;3ppl?,abanicaran;1sgf,abanicaré;2sgf,abanicarás;3sgf,abanicará;1plf,abanicaremos;2plf,abanicaréis;3plf,abanicarán
abaratar;inf,abaratar;1sg,abarato;2sg,abaratas;3sg,abarata;1pl,abaratamos;2pl,abaratáis;3pl,abaratan;part,abaratando;2pl!,abaratad;1sg->,abarataría;2sg->,abaratarías;1pl->,abarataríamos;2pl->,abarataríais;3pl->,abaratarían;1sg?,abarate;2sg?,abarates;1pl?,abaratemos;2pl?,abaratéis;3pl?,abaraten;1sgp,abarataba;2sgp,abaratabas;1ppl,abaratábamos;2ppl,abaratabais;3ppl,abarataban;ppart,abaratado;1sgp?,abaratara;2sgp?,abarataras;1ppl?,abaratáramos;2ppl?,abaratarais;3ppl?,abarataran;1sgf,abarataré;2sgf,abaratarás;3sgf,abaratará;1plf,abarataremos;2plf,abarataréis;3plf,abaratarán
abarcar;inf,abarcar;1sg,abarco;2sg,abarcas;3sg,abarca;1pl,abarcamos;2pl,abarcáis;3pl,abarcan;part,abarcando;2pl!,abarcad;1sg->,abarcaría;2sg->,abarcarías;1pl->,abarcaríamos;2pl->,abarcaríais;3pl->,abarcarían;1sg?,abarce;2sg?,abarces;1pl?,abarcemos;2pl?,abarcéis;3pl?,abarcen;1sgp,abarcaba;2sgp,abarcabas;1ppl,abarcábamos;2ppl,abarcabais;3ppl,abarcaban;ppart,abarcado;1sgp?,abarcara;2sgp?,abarcaras;1ppl?,abarcáramos;2ppl?,abarcarais;3ppl?,abarcaran;1sgf,abarcaré;2sgf,abarcarás;3sgf,abarcará;1plf,abarcaremos;2plf,abarcaréis;3plf,abarcarán
abarrotar;inf,abarrotar;1sg,abarroto;2sg,abarrotas;3sg,abarrota;1pl,abarrotamos;2pl,abarrotáis;3pl,abarrotan;part,abarrotando;2pl!,abarrotad;1sg->,abarrotaría;2sg->,abarrotarías;1pl->,abarrotaríamos;2pl->,abarrotaríais;3pl->,abarrotarían;1sg?,abarrote;2sg?,abarrotes;1pl?,abarrotemos;2pl?,abarrotéis;3pl?,abarroten;1sgp,abarrotaba;2sgp,abarrotabas;1ppl,abarrotábamos;2ppl,abarrotabais;3ppl,abarrotaban;ppart,abarrotado;1sgp?,abarrotara;2sgp?,abarrotaras;1ppl?,abarrotáramos;2ppl?,abarrotarais;3ppl?,abarrotaran;1sgf,abarrotaré;2sgf,abarrotarás;3sgf,abarrotará;1plf,abarrotaremos;2plf,abarrotaréis;3plf,abarrotarán
abastar;inf,abastar;1sg,abasto;2sg,abastas;3sg,abasta;1pl,abastamos;2pl,abastáis;3pl,abastan;part,abastando;2pl!,abastad;1sg->,abastaría;2sg->,abastarías;1pl->,abastaríamos;2pl->,abastaríais;3pl->,abastarían;1sg?,abaste;2sg?,abastes;1pl?,abastemos;2pl?,abastéis;3pl?,abasten;1sgp,abastaba;2sgp,abastabas;1ppl,abastábamos;2ppl,abastabais;3ppl,abastaban;ppart,abastado;1sgp?,abastara;2sgp?,abastaras;1ppl?,abastáramos;2ppl?,abastarais;3ppl?,abastaran;1sgf,abastaré;2sgf,abastarás;3sgf,abastará;1plf,abastaremos;2plf,abastaréis;3plf,abastarán
abastecer;inf,abastecer;1sg,abasteco;2sg,abasteces;3sg,abastece;1pl,abastecemos;2pl,abastecéis;3pl,abastecen;part,abasteciendo;2sg!,abasteca;2pl!,abasteced;1sg->,abastecería;2sg->,abastecerías;1pl->,abasteceríamos;2pl->,abasteceríais;3pl->,abastecerían;2sg?,abastecas;1pl?,abastecamos;2pl?,abastecáis;3pl?,abastecan;1sgp,abastecía;2sgp,abastecías;1ppl,abastecíamos;2ppl,abastecíais;3ppl,abastecían;ppart,abastecido;1sgp?,abasteciera;2sgp?,abastecieras;1ppl?,abasteciéramos;2ppl?,abastecierais;3ppl?,abastecieran;1sgf,abasteceré;2sgf,abastecerás;3sgf,abastecerá;1plf,abasteceremos;2plf,abasteceréis;3plf,abastecerán
abatir;inf,abatir;1sg,abato;2sg,abates;3sg,abate;1pl,abatimos;2pl,abateis;3pl,abaten;part,abatiendo;2sg!,abata;2pl!,abatid;1sg->,abatiría;2sg->,abatirías;1pl->,abatiríamos;2pl->,abatiríais;3pl->,abatirían;2sg?,abatas;1pl?,abatamos;2pl?,abatáis;3pl?,abatan;1sgp,abatía;2sgp,abatías;1ppl,abatíamos;2ppl,abatíais;3ppl,abatían;ppart,abatido;1sgp?,abatiera;2sgp?,abatieras;1ppl?,abatiéramos;2ppl?,abatierais;3ppl?,abatieran;1sgf,abatiré;2sgf,abatirás;3sgf,abatirá;1plf,abatiremos;2plf,abatiréis;3plf,abatirán
abdicar;inf,abdicar;1sg,abdico;2sg,abdicas;3sg,abdica;1pl,abdicamos;2pl,abdicáis;3pl,abdican;part,abdicando;2pl!,abdicad;1sg->,abdicaría;2sg->,abdicarías;1pl->,abdicaríamos;2pl->,abdicaríais;3pl->,abdicarían;1sg?,abdice;2sg?,abdices;1pl?,abdicemos;2pl?,abdicéis;3pl?,abdicen;1sgp,abdicaba;2sgp,abdicabas;1ppl,abdicábamos;2ppl,abdicabais;3ppl,abdicaban;ppart,abdicado;1sgp?,abdicara;2sgp?,abdicaras;1ppl?,abdicáramos;2ppl?,abdicarais;3ppl?,abdicaran;1sgf,abdicaré;2sgf,abdicarás;3sgf,abdicará;1plf,abdicaremos;2plf,abdicaréis;3plf,abdicarán
abjurar;inf,abjurar;1sg,abjuro;2sg,abjuras;3sg,abjura;1pl,abjuramos;2pl,abjuráis;3pl,abjuran;part,abjurando;2pl!,abjurad;1sg->,abjuraría;2sg->,abjurarías;1pl->,abjuraríamos;2pl->,abjuraríais;3pl->,abjurarían;1sg?,abjure;2sg?,abjures;1pl?,abjuremos;2pl?,abjuréis;3pl?,abjuren;1sgp,abjuraba;2sgp,abjurabas;1ppl,abjurábamos;2ppl,abjurabais;3ppl,abjuraban;ppart,abjurado;1sgp?,abjurara;2sgp?,abjuraras;1ppl?,abjuráramos;2ppl?,abjurarais;3ppl?,abjuraran;1sgf,abjuraré;2sgf,abjurarás;3sgf,abjurará;1plf,abjuraremos;2plf,abjuraréis;3plf,abjurarán
