a-t-elle;a-t-el
abaissé;abaiss
abandonne;abandon
abandonner;abandon
abandonné;abandon
abbaye;abbay
abondamment;abond
abondante;abond
abonnement;abon
abonnés;abon
abordable;abord
aborde;abord
aborder;abord
abouti;about
aboutir;about
aboutit;about
abrite;abrit
absence;absenc
absolue;absolu
absolument;absolu
absorbe;absorb
académique;academ
accents;accent
acceptable;accept
accepte;accept
accepter;accept
accepté;accept
acceptée;accept
accessible;accessibl
accessibles;accessibl
accessoire;accessoir
accessoires;accessoir
accidents;accident
accompagne;accompagn
accompagnement;accompagn
accompagner;accompagn
accompagné;accompagn
accompagnée;accompagn
accompagnés;accompagn
accompli;accompl
accomplir;accompl
accorde;accord
accorder;accord
accords;accord
accordé;accord
accordée;accord
accordées;accord
accordés;accord
accrue;accru
accueille;accueil
accueilli;accueil
accueillir;accueil
accumuler;accumul
accusations;accus
accuse;accus
accusé;accus
accéder;acced
accélération;accéler
accélérer;accéler
accéléré;accéler
accélérée;accéler
achats;achat
achetant;achet
acheter;achet
acheteurs;acheteur
acheté;achet
achetée;achet
achetées;achet
achetés;achet
achevé;achev
acier;aci
ackermans;ackerman
acquise;acquis
acquises;acquis
acquisition;acquisit
acquisitions;acquisit
acquérir;acquer
actes;acte
acteurs;acteur
actifs;actif
actionnaire;actionnair
actionnaires;actionnair
actions;action
active;activ
activement;activ
actives;activ
activité;activ
activités;activ
actrice;actric
actualité;actual
actuelle;actuel
actuellement;actuel
actuelles;actuel
actuels;actuel
adaptation;adapt
adaptations;adapt
adapter;adapt
adapté;adapt
adaptée;adapt
adaptées;adapt
adaptés;adapt
adeptes;adept
adhésion;adhes
admettre;admettr
administrateur;administr
administrateurs;administr
administratif;administr
administratifs;administr
administration;administr
administrations;administr
administrative;administr
administratives;administr
admirablement;admir
adolescents;adolescent
adopte;adopt
adopter;adopt
adoption;adopt
adopté;adopt
adoptée;adopt
adresse;adress
adresser;adress
adresses;adress
adressé;adress
adulte;adult
adultes;adult
adversaires;adversair
adéquate;adéquat
affaire;affair
affaires;affair
affecté;affect
affectés;affect
affichage;affichag
affichait;affich
affichant;affich
affiche;affich
afficher;affich
affiches;affich
affiché;affich
affichée;affich
affichés;affich
affiliés;affili
affirme;affirm
affirmer;affirm
affirmé;affirm
affronter;affront
africaine;africain
africains;africain
afrique;afriqu
agence;agenc
agences;agenc
agenda;agend
agents;agent
agira;agir
agissait;agiss
agisse;agiss
agressif;agress
agressive;agress
agricole;agricol
agricoles;agricol
agriculture;agricultur
agréable;agréabl
agréablement;agréabl
agréables;agréabl
agréé;agré
agusta;agust
aidant;aid
aide;aid
aider;aid
aides;aid
aidé;aid
aile;ail
ailes;ail
ailleurs;ailleur
aime;aim
aimer;aim
aimerait;aim
aimé;aim
ainsi;ains
airlines;airlin
airways;airway
aise;ais
aisé;ais
aisée;ais
aisément;ais
ajoutant;ajout
ajoute;ajout
ajouter;ajout
ajouté;ajout
ajoutée;ajout
alarme;alarm
albums;album
alentours;alentour
alexandre;alexandr
alimentaire;alimentair
alimentaires;alimentair
alimentation;aliment
alimenter;aliment
aliments;aliment
allemagne;allemagn
allemande;allemand
allemandes;allemand
allemands;allemand
alliance;allianc
alliances;allianc
allie;alli
alliés;alli
allocations;alloc
allons;allon
allure;allur
allures;allur
allusion;allus
alors;alor
alternative;altern
alternatives;altern
amateurs;amateur
ambiance;ambianc
ambiant;ambi
ambitieux;ambiti
ambition;ambit
ambitions;ambit
amende;amend
amendes;amend
amener;amen
amené;amen
america;americ
amie;ami
amortissements;amort
amoureuse;amour
amoureux;amour
amélioration;amélior
améliorations;amélior
améliore;amélior
améliorer;amélior
amélioré;amélior
améliorée;amélior
aménagement;aménag
américaine;américain
américaines;américain
américains;américain
amérique;amer
analogue;analogu
analyse;analys
analyser;analys
analyses;analys
analyste;analyst
analystes;analyst
ancia;anci
ancienne;ancien
anciennes;ancien
anciens;ancien
angeles;angel
anglaise;anglais
angleterre;angleterr
animations;anim
animaux;animal
animé;anim
animés;anim
annexes;annex
anniversaire;anniversair
annonce;annonc
annoncer;annonc
annonces;annonc
annonceurs;annonceur
annoncé;annonc
annoncée;annonc
annoncées;annonc
annoncés;annonc
annuelle;annuel
annuellement;annuel
annuelles;annuel
annuels;annuel
année;anné
années;anné
anonyme;anonym
anonymes;anonym
ans;an
antenne;anten
anticiper;anticip
anticipé;anticip
anticipée;anticip
antoine;antoin
antérieurement;antérieur
antérieures;antérieur
anvers;anver
anversoise;anversois
appareils;appareil
apparemment;apparent
apparence;apparent
apparences;apparent
apparition;apparit
appartement;appart
appartements;appart
appartenant;apparten
appeler;appel
appellation;appel
appelle;appel
appels;appel
appelé;appel
appelée;appel
appelées;appel
appelés;appel
applicable;applic
application;appliqu
applications;appliqu
applique;appliqu
appliquer;appliqu
appliqué;appliqu
appliquée;appliqu
appliquées;appliqu
appliqués;appliqu
apporte;apport
apporter;apport
apporté;apport
apportées;apport
apprendre;apprendr
apprentissage;apprentissag
approche;approch
